Sentences,class
සතුට ඇති විය.,correct
පියාපත කැඩී යයි.,correct
විද්‍යාව දියුණුවෙයි.,correct
ඉරණම තීරණය වෙයි.,correct
අපි කෑම කමු.,correct
අපි වැඩ කරමු.,correct
අහසේ තරු බබළයි.,correct
නෙලුම් මල උදේට පිපෙයි.,correct
ගඟ සෙමෙන් ගලයි.,correct
වලාකුළු පාවී එයි.,correct
ගස සුළඟට පෙරළෙයි.,correct
ගස සුළඟට වැනෙයි.,correct
අපි පාසලට යමු.,correct
ගස්වල මල් පිපෙයි.,correct
සිසිල් සුළඟක් හමයි.,correct
මම පාසලට යමි.,correct
වසුපැටවා සෙල්ලම් කරයි.,correct
වලාකුළු පාවී යයි.,correct
ගඟ සෙමෙන් ගලයි.,correct
අම්මා විවේකයෙන් සිටියි.,correct
අක්කා පොතක් කියවයි.,correct
ගොවියෝ කුඹුරු කොටති.,correct
මල්ලී සෙල්ලම් කරයි.,correct
හංසයෝ විලේ පීනති.,correct
ඔහු ගීත ගයයි.,correct
ඔහු පොතක් කියවයි.,correct
ඔහු රිය පදවයි.,correct
ඔහු ගමට ගියේ ය.,correct
ඔහු බත් කෑවේ ය.,correct
ඔහු ගීත ගැයුවේ ය.,correct
ඔහු පොතක් කියවූයේ ය.,correct
ඔහු රිය පැදවූවේ ය.,correct
මල්ලිලා පාසල් ගියෝ ය.,correct
නංගිලා ගීත ගැයුවෝ ය.,correct
අයියලා පොත් කියෙවුවෝ ය.,correct
මාමලා ගමට පැමිණියෝ ය.,correct
මල්ලිලා පාසල් ගියහ.,correct
නංගිලා ගීත ගැයූහ.,correct
අයියලා පොත් කියවූහ.,correct
මාමලා ගමට පැමිණියහ.,correct
මල්ලී පාසල් ගියේ ය.,correct
තාත්තා පලතුරු කෑවේ ය.,correct
මාමා නිවසට ආවේ ය.,correct
නංගී පාසල් ගියා ය.,correct
අම්මා පලතුරු කෑවා ය.,correct
නැන්දා නිවසට ආවා ය.,correct
මාමලා නිවසට ආවෝ ය.,correct
නංගිලා පාසල් ගියෝ ය.,correct
අම්මලා පලතුරු කෑවෝ ය.,correct
නැන්දලා නිවසට ආවෝ ය.,correct
පසිඳු ගීතයක් ගැයුවේ ය.,correct
අම්මා ඇඳුමක් මැසුවා ය.,correct
අයියා පොතක් කියවයි.,correct
මාමා ගමට ගියේ ය.,correct
නැන්දා වැලිතලප සෑදුවා ය.,correct
මල්ලී පාසල් යයි.,correct
තාත්තා පලතුරු කයි.,correct
ගුරුතුමා අපට උගන්වයි.,correct
ගුරුතුමා අපට ඉගැන්වූයේ ය.,correct
නංගී පාසල් යයි.,correct
අම්මා පලතුරු කයි.,correct
ගුරුතුමිය අපට උගන්වයි.,correct
ගස සුළඟට වැනුණේ ය.,correct
අප උදෙන්ම අවදි වීමු.,correct
අප උදේ ආහාරය ගතිමු.,correct
අප පාසලට ගියෙමු.,correct
සොහොයුරිය ඇඳුමක් අඳියි.,correct
සොහොයුරිය ඇඳුමක් ඇන්දා ය.,correct
අප උදෙන්ම අවදි වූමු.,correct
අපි හැමෝම පාසලට යමු.,correct
අම්මා ඇඳුමක් මැසුවේ ය.,correct
තාත්තා පලතුරු කෑවා ය.,correct
මාමා නිවසට ආවා ය.,correct
ගුරුතුමා අපට ඉගැන්නුවා ය.,correct
ගුරුතුමිය අපට උගැන්වූයේ ය.,correct
අම්මා පලතුරු කෑවේ ය.,correct
නංගී පාසල් ගියාය.,correct
අම්මා පලතුරු කෑවාය.,correct
සීයා පුවත්පත කියවයි.,correct
අපි පාසලට යන්නෙමු.,correct
මල්ලි ඇඳුමක් අඳියි.,correct
මම හයියෙන් කතා කළෙමි.,correct
මම පාඩම් පොතේ ලීවෙමි,correct
මම වාහනය සෙමින් පැදවූවෙමි,correct
මම සතුන්ට ආදරය කළෙමි,correct
මම ඔවුන්ට පොත් දුන්නෙමි,correct
මම ඇය සමග සිනාසුනෙමි,correct
මම අලුත් ඇදුම් ගත්තෙමි,correct
මට එය පිළිගත හැක.,correct
ඇය එය එකතු කළාය.,correct
ඔවුහු ඔහුට උපදෙස් දුන්නෝය.,correct
මට ඒ සමඟ එකඟ විය හැක.,correct
ඇය එයට ඉඩ දෙයි.,correct
අපි එය නිවේදනය කරමු.,correct
මට සමාව ඉල්ලිය හැක.,correct
අද ඇය පාසලේ  සිටියි.,correct
ඔවුහු එය පිළියෙළ කළෝය.,correct
මට හෙට ආ හැක.,correct
ඇයට ඔහුගෙන් ඇසිය හැක.,correct
ඇය මල් මාලා අමුණයි.,correct
ඔවුහු ඇයව මඟහැරියෝය,correct
මට එය පිසිය හැක,correct
අපි එය පරාජය කරමු,correct
ඔවුහු සතුටට පත්විය,correct
අපි මුදල් ණයට ගත්තෙමු,correct
ඔවුහු වේගයෙන්  හුස්ම ගනිති,correct
මට එය ඇරඹිය හැක,correct
මට එය රැගෙන ආ හැක,correct
මට එය සෑදිය හැක,correct
ඇය ආහාර මිලට ගනියි,correct
අපි එය ගණනය කරමු,correct
ඔවුහු එය රැගෙන යති,correct
ඔවුන් වංචා නොකරයි,correct
ඇය මා සමඟ තරඟ කරයි,correct
ඔවුහු කියවීම දිගටම කළෝය,correct
අපි එය පිළිබඳ පැමිණිලි කරමු,correct
ඔහු ඒ පිළිබඳ ඇඬුවේය,correct
මට දැන් තීරණය කළ හැක,correct
ඇය මට ඒ පිළිබඳ විස්තර කළාය,correct
අපි ඒ පිළිබඳ එකඟ නොවීමු,correct
අපි ඔවුන්ට ආරාධනා කළෙමු,correct
ඇය එය සිතෙහි මවා ගනියි,correct
ඔවුහු ඔහු ගැන බොරු කීවෝය,correct
ඇය එය අහිමි කරගත්තාය,correct
ඔවුහු ඔහුව හමුවූවෝය,correct
මම එය වැරදි ලෙස ලියමි,correct
අපි ඔවුන්ව ආරක්ෂා කළෙමු,correct
ඔවුහු ඇයට දඬුවම් කරයි,correct
ඔවුහු කතාබහ කිරීම ප්‍රතික්ෂේප කරති,correct
අපි එය ගායනා කරන්නෙමු,correct
ඇය මුදල් වියදම් කරයි,correct
අපි එයින් දුක් වින්ඳෙමු,correct
ඔවුහු එය යෝජනා කරති,correct
මම ඔහුව පුදුම කළෙමි,correct
මම ඒ පිළිබඳ කතා කරන්නෙමි,correct
මම බත් දැන් කමි.,correct
නුඹ බත් දැන් කන්නෙහි.,correct
ඔහු බත් දැන් කයි.,correct
ඇය තේ දැන් බොයි.,correct
අපි බත් දැන් කමු.,correct
නුඹලා බත් දැන් කවු.,correct
ඔවුහු තේ දැන් බොති.,correct
මම ගීත ගයමි.,correct
නුඹ ඇඳුම් අඳින්නෙහි.,correct
ඔහු පාඩම් ලියයි.,correct
ඇය ගමන යයි.,correct
අපි නිවාස දකිමු.,correct
නුඹලා වැඩ කරහු,correct
ඔවුහු මෙහි එති.,correct
මම පොත කියමි.,correct
නුඹ නිතර දුවන්නෙහි.,correct
ඔහු මුදල් ගනී.,correct
අපි සතුටු වන්නෙමු.,correct
නුඹලා හොඳින් ඉන්නහු.,correct
ඔවුහු හොඳින් පවතිති.,correct
ඇය ගමන ගියා ය.,correct
මම ගීත ගීයෙමි.,correct
නුඹ ඇඳුම් ඇන්දෙහි.,correct
ඔහු පාඩම් ලිව්වේ ය.,correct
ඇය මෙහි ආවා ය.,correct
අපි නිවාස දුටිමු.,correct
නුඹලා වැඩ කෙරූහුය.,correct
ඔවුහු පොත් කියවූවෝ ය.,correct
මම නිදාගත්තෙමි.,correct
නුඹ හොඳින් හිටියෙහි.,correct
ඔහු මුදල් ගත්තේ ය.,correct
නුඹලා එතැන සිටියහුය.,correct
ඔවුහු එහි ගියෝ ය.,correct
මම ගීත ගයන්නෙමි.,correct
නුඹ පොත කියවන්නෙහි.,correct
ඔහු එය දකින්නේ ය.,correct
ඇය පිළිතුරු දෙන්නේ ය.,correct
අපි වැඩ කරන්නෙමු.,correct
නුඹලා මෙහි එන්නවු.,correct
ඔවුහු සතුටු වන්නෝ ය.,correct
මම ඉක්මන් වන්නෙමි.,correct
නුඹ පොත් ගන්නේ ය.,correct
ඔහු එහි පවතින්නේ ය.,correct
අපි කාරණා දැනගන්නෙමු.,correct
නුඹලා සත්‍යය කියන්නහු.,correct
ගස හොඳින් වැඩේ.,correct
ජලය නිතර ගලයි.,correct
පොත එහි තිබේ.,correct
සීතල දැන් පැතිරෙයි.,correct
දොර ඉබේ හැරෙයි.,correct
පාර දුර ය.,correct
අහස නිතර නිල් වෙයි.,correct
පලතුරු දැන් ඉදී ඇත.,correct
ගින්න සෙමින් නිවෙයි.,correct
බෝල දැන් පෙරළෙයි.,correct
වලාකුළු අහසේ පාවෙයි.,correct
කාලය වේගයෙන් ගතවෙයි.,correct
කාමරය දීප්තිමත් වේ.,correct
වීදුරුව ඉක්මනින් බිඳෙයි.,correct
රූප සෙමින් මැකී යයි.,correct
වැස්ස දැන් වැටෙයි.,correct
පහන දැන් දැල්වෙයි.,correct
ශබ්දය නිතර ඇසෙයි.,correct
සතුට නිතර ඇති වෙයි.,correct
විද්‍යාව නිතර දියුණුවෙයි.,correct
ගස හොඳින් වැඩුණේ ය.,correct
ජලය ඉක්මනින් ගලා ගියේ ය.,correct
පොත එහි තිබුණේ ය.,correct
සීතල වේගයෙන් පැතිර ගියේ ය.,correct
දොර ඉබේ විවර විය.,correct
පාර හොඳින් තැනුවේ ය.,correct
අහස නිල් පැහැ ගැන්විය.,correct
පලතුරු ඊයේ ඉදුණේ ය.,correct
ගින්න ඉක්මනින් නිවුණේ ය.,correct
බෝල බිම පෙරළුණේ ය.,correct
වලාකුළු ඉක්මනින් විසිර ගියේ ය.,correct
කාලය සෙමින් ගෙවී ගියේ ය.,correct
කාමරය පිරිසිදු කෙරිණි.,correct
වීදුරුව ඊයේ බිඳුණේ ය.,correct
රූප වේගයෙන් මැකී ගියේ ය.,correct
වැස්ස ඊයේ වැටුණේ ය.,correct
පහන ඉක්මනින් දැල්වුණේ ය.,correct
ශබ්දය පැහැදිලි ව ඇසුණේ ය.,correct
සතුට එතැන ඇති විය.,correct
විද්‍යාව පෙර දියුණු විය.,correct
මම දරුවාට දුන්නෙමි.,correct
නුඹ අද සිතන්නෙහි.,correct
ඔහු පාඩම අවසන් කෙළේ ය.,correct
ඇය නිතර අඬයි.,correct
අපි සිනාසුණෙමු.,correct
නුඹලා හෙට වාඩිවන්නවු.,correct
ඔවුහු හොඳින් නැටුවෝ ය.,correct
මම දැන් යනවා ඇත්තෙමි.,correct
නුඹ එය පිළිගන්නෙහි.,correct
ඔහු අද කතා කරන්නේ ය.,correct
ඇය පිළිතුර දීමට ඇත.,correct
අපි එතැනට යන්නෙමු.,correct
නුඹලා අද ඇසුවහුය.,correct
ඔවුහු එය දැනගන්නෝ ය.,correct
මම ඉක්මන් වන්නට ඇත.,correct
නුඹ පාර පෙන්වූයෙහි.,correct
ඔහු සෙල්ලම් කරමින් සිටියේ ය.,correct
අපි හොඳින් දැන ගතිමු.,correct
නුඹලා එය බාරගත්තවුය.,correct
ඔවුහු කෑගසමින් සිටියෝ ය.,correct
මල එහි වියළී ගියේ ය.,correct
කරුණ පැහැදිලි වෙන්නේ ය.,correct
පහන් ඉක්මනින් දැල්වුණේ ය.,correct
හඬ දුර ඇසෙයි.,correct
අදහස දැන් ඇති වෙයි.,correct
භාණ්ඩ විකිණෙන්නේ ය.,correct
ජනේලය තදින් වැසෙයි.,correct
පත්‍ර බිම වැටුණේ ය.,correct
වර්ණ ඉක්මනින් වෙනස් විය.,correct
රථය හෙට නවතින්නේ ය.,correct
දුම නිරතුරුව ඉහළ යයි.,correct
ගල් බිම තිබුණේ ය.,correct
විදුලිය දැන් විසන්ධි වෙයි.,correct
තත්වය ඉක්මනින් වෙනස් වේ.,correct
ඉරණම දැන් තීරණය විය.,correct
නදිය මඳින් ගලා යයි.,correct
නිවස ඉතා අඳුරු විය.,correct
මේස හොඳින් සවි කෙරිණි.,correct
අපි ඊයේ එය සෑදුවෙමු,correct
මම බත් ඊයේ කෑයෙමි.,correct
නුඹ බත් ඊයේ කෑයෙහි.,correct
ඔහු තේ ඊයේ බීයේ ය.,correct
අපි බත් ඊයේ කෑයෙමු.,correct
නුඹලා බත් ඊයේ කෑහුය.,correct
ඔවුහු තේ ඊයේ බීවෝ ය.,correct
අපි ඊයේ නැටීමු.,correct
මම හෙට කන්නෙමි.,correct
නුඹ හෙට කන්නෙහී.,correct
ඔහු හෙට බොන්නේ ය.,correct
ඇය හෙට යන්නේ ය.,correct
අපි හෙට යන්නෙමු.,correct
නුඹලා හෙට යන්නවු.,correct
ඔවුහු හෙට එන්නෝ ය.,correct
රහස ඊයේ හෙළි විය.,correct
සිදුවීම ඊයේ සිදුවිය.,correct
මම දැන් කමි.,correct
නුඹ හෙට යන්නෙහි.,correct
ඔහු ඊයේ ආයේ ය.,correct
ඇය නිතර ලියයි.,correct
අපි වහා යමු.,correct
නුඹලා පෙර කෑහුය.,correct
ඔවුහු අද එති.,correct
මම හෙට බොන්නෙමි.,correct
නුඹ දැන් සිටින්නෙහි.,correct
ඔහු පසුව දනී.,correct
ඇය වහා ඇන්දේ ය.,correct
අපි ඊයේ දුටිමු.,correct
නුඹලා හෙට එන්නවු.,correct
ඔවුහු නිතර දකිති.,correct
මම සවස් ගතිමි.,correct
නුඹ අද දුවන්නෙහි.,correct
ඔහු පෙර කීවේ ය.,correct
ඇය දැන් දනී.,correct
නුඹලා අද ගයවු.,correct
ඔවුහු ඉක්මන් ආවෝ ය.,correct
මම දැන් ලියමි.,correct
නුඹ පසුව කියවන්නෙහි.,correct
ඔහු නිතර ගනී.,correct
ඇය ඊයේ සේදුවා ය.,correct
අපි අද ඉමු.,correct
ඔවුහු ඉක්මනින් දුවති.,correct
මම නිතර සිතමි.,correct
නුඹ පෙර දුන්නෙහි.,correct
ඔහු හෙට එන්නේ ය.,correct
ඇය බිම බිව්වා ය.,correct
අපි අද දකිමු.,correct
නුඹලා දැන් කවු.,correct
ඔවුහු පසුව යති.,correct
මම ඉක්මන් බිව්වෙමි.,correct
නුඹ අද අවදිවන්නෙහි.,correct
ඔහු ඊයේ සේදුවේ ය.,correct
ඇය හෙට ගන්නේ ය.,correct
අපි නිතර කියමු.,correct
ගස දැන් වැඩේයි.,correct
පොත ඊයේ තිබිණි.,correct
සීතල වහා පැතිරෙයි.,correct
දොර දැන් හැරෙයි.,correct
පාර හෙට සෑදේ.,correct
අහස පසුව පැහැදිලි වෙයි.,correct
මල් නිතර පිපෙයි.,correct
ගින්න වහා නිවිණි.,correct
කාලය වේගයෙන් ගෙවේ.,correct
ශබ්දය වහා නැඟේ.,correct
රථය අද නවතී.,correct
වැස්ස පසුව වැටෙයි.,correct
දුම නිතර යයි.,correct
බෝලය ඊයේ පෙරළුණේ ය.,correct
තත්වය දැන් වෙනස් විය.,correct
ප්‍රශ්නය හෙට ඇති වේ.,correct
මම දැන් කෑවෙමි.,correct
පොත් අද තිබේ.,correct
ඔහු හෙට දකින්නේ ය.,correct
බිත්තිය ඊයේ කැඩුණේ ය.,correct
අපි නිතර ලියමු.,correct
ජලය වහා ගලයි.,correct
ඔවුහු ඊයේ සිටියෝ ය.,correct
රහස දැන් හෙළි විය.,correct
මම හෙට එන්නෙමි.,correct
නුඹ පසුව දුවන්නෙහි.,correct
ඇය දැන් දකී.,correct
කරුණ නිතර පැහැදිලි වෙයි.,correct
අපි ඊයේ බිව්වෙමු.,correct
ගල් අද තිබේ.,correct
ලෝකය වහා වෙනස් වේ.,correct
මම නිතර කියමි.,correct
නදිය පසුව ගලයි.,correct
ඔහු දැන් ගනී.,correct
වීදුරු ඊයේ බිඳුණේ ය.,correct
ඇය හෙට එන්නේ ය.,correct
කාමරය දැන් අඳුරු විය.,correct
අපි වහා කියමු.,correct
වාතය නිතර චලනය වෙයි.,correct
ඔවුහු පසුව ලියති.,correct
ගස ඊයේ කැඩුණේ ය.,correct
මම අද සිටිමි.,correct
නුඹ ඊයේ කීවෙහි.,correct
ඔහු වහා දුවයි.,correct
පාර දැන් තැනේයි.,correct
ඇය හෙට බලන්නේ ය.,correct
මල් නිතර පවතී.,correct
අපි දැන් දනිමු.,correct
වැස්ස පසුව නවතියි.,correct
නුඹලා නිතර බලවු.,correct
බෝල වහා පෙරළෙයි.,correct
පොත ඊයේ විවෘත විය.,correct
මම දැන් නිදාගතිමි.,correct
සීතල පසුව හමයි.,correct
මම තේ දැන් බොමි.,correct
නුඹ පොත හෙට කියවන්නෙහි.,correct
ඔහු බත් ඊයේ කෑවේ ය.,correct
ඇය ගීත නිතර ගයයි.,correct
අපි ගෙදර වහා යමු.,correct
නුඹලා වැඩ ඊයේ කෙරූහුය.,correct
ඔවුහු මෙහි අද එති.,correct
මම ඇඳුම් හෙට අඳින්නෙමි.,correct
නුඹ එහි දැන් සිටින්නෙහි.,correct
ඔහු මුදල් පසුව ගනී.,correct
ඇය පාඩම වහා නිමකළේ ය.,correct
අපි චිත්‍ර ඊයේ දුටිමු.,correct
නුඹලා බත් හෙට කන්නවු.,correct
ඔවුහු සත්‍යය නිතර කියති.,correct
මම පොත ඊයේ කියවූයෙමි.,correct
නුඹ ඉක්මන් දැන් දුවන්නෙහි.,correct
ඔහු කතාව ඊයේ කීවේ ය.,correct
ඇය ජලය දැන් බොයි.,correct
අපි එහි හෙට යන්නෙමු.,correct
නුඹලා ගීත අද ගයවු.,correct
ඔවුහු බත් ඊයේ කෑවෝ ය.,correct
මම වැඩ දැන් ලියමි.,correct
නුඹ පාඩම් හෙට ඉගෙනගන්නෙහි.,correct
ඔහු තෑගි නිතර ගනී.,correct
ඇය ඇඳුම් ඊයේ සේදුවා ය.,correct
අපි එහි අද ඉමු.,correct
නුඹලා මෙහි හෙට එන්නවු.,correct
ඔවුහු වේගයෙන් නිතර දුවති.,correct
මම ඇත්ත නිතර සිතමි.,correct
නුඹ පොත පෙර දුන්නෙහි.,correct
ඔහු මෙහි හෙට එන්නේ ය.,correct
ඇය වතුර වහා බිව්වා ය.,correct
අපි එහි අද දකිමු.,correct
ඔවුහු සෙමින් පසුව යති.,correct
මම තේ ඊයේ බිව්වෙමි.,correct
නුඹ නිතර හොඳින් අවදිවන්නෙහි.,correct
ඔහු බිම ඊයේ සේදුවේ ය.,correct
ඇය මුදල් හෙට ගන්නේ ය.,correct
අපි සත්‍යය නිතර කියමු.,correct
ගස විශාල දැන් වැඩෙයි.,correct
ජලය සෙමින් නිතර ගලයි.,correct
පොත එහි ඊයේ තිබිණි.,correct
සීතල නගරය වහා පැතිරෙයි.,correct
දොර ඉබේ දැන් හැරෙයි.,correct
පාර හොඳින් හෙට සෑදේ.,correct
මල් හොඳින් නිතර පිපෙයි.,correct
ගින්න සෙමින් වහා නිවිණි.,correct
වීදුරුව බිම ඊයේ බිඳුණේ ය.,correct
කාලය සෙමින් ගෙවී යයි.,correct
ශබ්දය ඉහළ වහා නැඟේ.,correct
පලතුරු හොඳින් දැන් ඉදී ඇත.,correct
රථය එහි අද නවතී.,correct
වැස්ස සෙමින් පසුව වැටෙයි.,correct
දුම ඉහළ නිතර යයි.,correct
බෝලය බිම ඊයේ පෙරළුණේ ය.,correct
මම බත් දැන් කෑවෙමි.,correct
පොත් එහි අද තිබේ.,correct
ඔහු ඇය හෙට දකින්නේ ය.,correct
බිත්තිය තදින් ඊයේ කැඩුණේ ය.,correct
අපි ලිපි නිතර ලියමු.,correct
ජලය ඉක්මනින් වහා ගලයි.,correct
ඔවුහු එහි ඊයේ සිටියෝ ය.,correct
මම මෙහි හෙට එන්නෙමි.,correct
නුඹ එහි පසුව දුවන්නෙහි.,correct
ඇය ඔහු දැන් දකී.,correct
අපි තේ ඊයේ බිව්වෙමු.,correct
ගල් බිම අද තිබේ.,correct
නුඹලා එහි හෙට යන්නවු.,correct
ලෝකය නිතර වෙනස් වේ.,correct
මම කතාව නිතර කියමි.,correct
නදිය සෙමින් පසුව ගලයි.,correct
ඔහු මුදල් දැන් ගනී.,correct
ඇය මෙහි හෙට එන්නේ ය.,correct
කාමරය ඉක්මනින් දැන් අඳුරු විය.,correct
අපි ඇත්ත වහා කියමු.,correct
වාතය හොඳින් නිතර චලනය වෙයි.,correct
ඔවුහු ලිපි පසුව ලියති.,correct
ගස විශාල ඊයේ කැඩුණේ ය.,correct
මම දැන් හොඳින් සිටියෙමි.,correct
නුඹ ඊයේ කතාව කීවෙහි.,correct
ඔහු ගෙදර වහා දුවයි.,correct
පාර හොඳින් දැන් තැනේ.,correct
ඇය එය හෙට බලන්නේ ය.,correct
අපි ඇත්ත දැන් දනිමු.,correct
වැස්ස සෙමින් පසුව නවතියි.,correct
නුඹලා එය නිතර බලවු.,correct
බෝල බිම වහා පෙරළෙයි.,correct
ඔවුහු මෙහි හෙට එන්නෝ ය.,correct
මම ඉක්මනින් දැන් නිදාගතිමි.,correct
සීතල වේගයෙන් පසුව හමයි.,correct
මම පොත කියමි.,correct
මම ගෙදර යමි.,correct
මම කෑම කමි.,correct
මම පාඩම් කරමි.,correct
මම ඔබට තෑග්ගක් දෙමි.,correct
මම රුපවාහිනිය බලමි.,correct
මම පාඩම් ඉගෙනගනිමි.,correct
මම නැටුමක් නටමි.,correct
මම පොත නොකියමි.,correct
මම අද පාසල් නොයමි.,correct
මම කෑම නොකමි.,correct
මම වැඩ නොකරමි.,correct
මම එය නොදෙමි.,correct
මම වැඩ නොබලමි.,correct
අපි පොත් කියමු.,correct
අපි ගෙදර යමු.,correct
අපි කෑම කමු.,correct
අපි වැඩ කරමු.,correct
අපි එය දෙමු.,correct
අපි වැඩ බලමු.,correct
අපි පාඩම් ඉගෙන ගනිමු.,correct
අපි නැටුම් නටමු.,correct
අපි පොත නොකියමු.,correct
අපි එහි නොයමු.,correct
අපි කෑම නොගත්තේමු.,correct
අපි වැඩ නොකරමු.,correct
ඔබ පොත කියවන්නේහි.,correct
ඔබ ගෙදර යන්නේහි.,correct
ඔබ කෑම ගත්තේහි.,correct
ඔබ වැඩ කරන්නේහි.,correct
ඔබ එය දෙන්නේහි.,correct
ඔබ රුපවාහිනිය බලන්නේහි.,correct
ඔබ පාඩම් ඉගෙන ගන්නෙහි.,correct
ඔබ නැටුම කරන්නේහි.,correct
ඔබ පොත නොකියන්නේහි.,correct
ඔබ අද නොගියෙහි.,correct
ඔබ කෑම නොගත්තේහි.,correct
ඔබ වැඩ නොකරන්නේහි.,correct
ඔබලා පොත කියවන්නේහු.,correct
ඔබලා ගෙදර යන්නේහු.,correct
ඔබලා කෑම ගන්නේහු.,correct
ඔබලා වැඩ කරන්නේහු.,correct
ඔබලා එය දන්නේහු.,correct
ඔබලා රුපවාහිනිය බලහු.,correct
ඔබලා පාඩම් ඉගෙන ගන්නේහු.,correct
ඔබලා නැටුම් කරන්නේහු.,correct
ඔබලා පොත නොකියවන්නේහු.,correct
ඔබලා අද නොයන්නේහු.,correct
ඔබලා කෑම නොගන්නේහු.,correct
ඔබලා වැඩ නොකරන්නේහු.,correct
ඔහු පොත කියවයි.,correct
ඔහු ගෙදර යයි.,correct
ඔහු කෑම ගනියි.,correct
ඔහු වැඩ කරයි.,correct
ඔහු එය දෙයි.,correct
ඔහු හිතා බලයි.,correct
ඔහු පාඩම් ඉගෙන ගනීයි.,correct
ඔහු නැටුම් නටයි.,correct
ඔහු පොත නොකියයි.,correct
ඔහු අද නොයයි.,correct
ඔහු කෑම නොගනියි.,correct
ඔහු වැඩ නොකරයි.,correct
ඇය පොත කියයි.,correct
ඇය ගෙදර යයි.,correct
ඇය කෑම ගනියි.,correct
ඇය වැඩ කරයි.,correct
ඇය එය දෙයි.,correct
ඇය දොර අරියි.,correct
ඇය පාඩම් ඉගෙන ගනීයි.,correct
ඇය නැටුම් නටයි.,correct
ඇය පොත නොකියයි.,correct
ඇය අද නොයයි.,correct
ඇය කෑම නොගනියි.,correct
ඇය වැඩ නොකරයි.,correct
ඔවුහු පොත් කියවති.,correct
ඔවුහු ගෙදර යති.,correct
ඔවුහු කෑම කති.,correct
ඔවුහු වැඩ කරති.,correct
ඔවුහු තෑගි දෙති.,correct
ඔවුහු දොර අරිති.,correct
ඔවුහු පාඩම් කරති.,correct
ඔවුහු නැටුම් නටති.,correct
ඔවුහු පොත් නොකියතී.,correct
ඔවුහු එහි නොඑති.,correct
ඔවුහු කෑම නොගනීතී.,correct
ඔවුහු වැඩ නොකරතී.,correct
ගුරුතුමිය ඔවුන්ට අවවාද දුන්නාය.,correct
ගුරුතුමා පාසලට ගියේ ය.,correct
ගුරුතුමා පොත අතට ගත්තේය.,correct
ගුරුතුමා ප්‍රශ්නපත්‍ර සාකච්චා කරේය.,correct
ගුරුතුමා දඩුවම් දුන්නේය.,correct
කුරුල්ලෝ අහසේ පියාසර කරති.,correct
