Correct Sentenes,Wrong sentences
සංචාරකයා රමණීය දර්ශන බැලීමට කන්ද නැග්ගේය.,රමණීය සංචාරකයා දර්ශන කන්ද නැග්ගේය බැලීමට.
ඔහු සිය කුඩා අධ්‍යාපන කරුණු පසුපස ගියේය.,කුඩා ඔහු සිය කරුණු අධ්‍යාපන ගියේය පසුපස.
කාර්යාලයේ සිටින සියල්ලෝම නව ව්‍යාපෘතිය පිළිගනිති.,සියල්ලෝම කාර්යාලයේ සිටින ව්‍යාපෘතිය නව පිළිගනිති.
නියමිත කාලය තුළ වාර්තාව ඉදිරිපත් කිරීම අවශ්‍ය වේ.,කාලය තුළ නියමිත අවශ්‍ය වාර්තාව ඉදිරිපත් කිරීම වේ.
දරුවන් ගමේ ඇළ අසල සෙල්ලම් කළහ.,ඇළ අසල දරුවන් ගමේ සෙල්ලම් කළහ.
ලේකම්වරයා අධ්‍යක්ෂ මණ්ඩලය වෙත නව තොරතුරු දැන්වීය.,අධ්‍යක්ෂ වෙත නව මණ්ඩලය ලේකම්වරයා තොරතුරු දැන්වීය.
ශිෂ්‍යයා පාසලේ පැවැත්වෙන සියලු කර්තව්‍යයන් සම්පූර්ණ කළේය.,පාසලේ ශිෂ්‍යයා සම්පූර්ණ කළේය පැවැත්වෙන සියලු කර්තව්‍යයන්.
ගොවියෝ කාලානුරූපව බිම් සකස් කළහ.,කාලානුරූපව ගොවියෝ බිම් කළහ සකස්.
අධිකාරිය නව නීති ශ්‍රීඝ්‍රයෙන් ක්‍රියාත්මක කෙළේය.,නීති අධිකාරිය නව ක්‍රියාත්මක කෙළේය ශ්‍රීඝ්‍රයෙන්.
ඔහුගේ විද්‍යාත්මක ගවේෂණය වඩා දියුණු විය.,වඩා ඔහුගේ විද්‍යාත්මක ගවේෂණය විය දියුණු.
ප්‍රදේශවාසීහු විපතට පත්වූවන්ට සහනය සැලසූහ.,සහනය ප්‍රදේශවාසීහු විපතට පත්වූවන්ට සැලසූහ.
රාත්‍රියේදී තරු අහසේ දීප්තිමත්ව දිස් විය.,තරු රාත්‍රියේදී දීප්තිමත්ව අහසේ විය දිස්.
පුස්තකාලය අද දින විවෘත කරන ලදී.,අද පුස්තකාලය දින කරන ලදී විවෘත.
කවියෝ තම මනෝභාවයන් අලංකාරව නිරූපණය කළහ.,කවියෝ තම නිරූපණය කළහ මනෝභාවයන් අලංකාරව.
රජතුමා සාමය වෙත විශේෂ දැක්මක් ඇත.,සාමය රජතුමා දැක්මක් ඇත වෙත විශේෂ.
පන්සලෙහි භික්ෂූන් ධර්මය නිතර උගන්වති.,ධර්මය පන්සලෙහි භික්ෂූන් උගන්වති නිතර.
නැවියන් මුහුදේ විශාල යාත්‍රාවක් පැදවූහ.,මුහුදේ නැවියන් පැදවූහ විශාල යාත්‍රාවක්.
සියලු ජනතාව සමෘද්ධිය සඳහා සක්‍රීයව දායක වෙති.,සියලු ජනතාව වෙති දායක සමෘද්ධිය සඳහා සක්‍රීයව.
කෞතුකාගාරයේ සිටින පුරාණ වස්තූන් ඉතා වටිනේය.,ඉතා කෞතුකාගාරයේ සිටින පුරාණ වස්තූන් වටිනේය.
පරිපාලන කටයුතු සම්බන්ධව ලිපියක් පිළියෙළ කරන ලදී.,සම්බන්ධව පරිපාලන කටයුතු ලදී කරන පිළියෙළ ලිපියක්.
ගුරුතුමිය නව ශිල්පක්‍රම කෙරෙහි වඩාත් උනන්දු වූවාය.,නව ගුරුතුමිය උනන්දු වූවාය ශිල්පක්‍රම කෙරෙහි වඩාත්.
අපගේ ඓතිහාසික උරුමය නිරතුරුව සුරැකීමට උත්සාහ කළ යුතුය.,උරුමය අපගේ ඓතිහාසික කළ යුතුය නිරතුරුව සුරැකීමට උත්සාහ.
නව රාජ්‍ය ආයතනය ඉදිරිපත් කළ යෝජනා පිළිගත්තේය.,නව රාජ්‍ය ආයතනය පිළිගත්තේය යෝජනා ඉදිරිපත් කළ.
විද්‍යාඥයන් ග්‍රහලෝක පිළිබඳව වඩාත් පුළුල් විමර්ශන කළහ.,ග්‍රහලෝක විද්‍යාඥයන් පුළුල් විමර්ශන කළහ පිළිබඳව වඩාත්.
උත්සවය සඳහා විශාල පිරිසක් අවම කාලයකින් එකතු වූහ.,විශාල උත්සවය සඳහා පිරිසක් එකතු වූහ අවම කාලයකින්.
වාර්තාකරුවෝ සිද්ධිය පිළිබඳව ගැඹුරු අධ්‍යයනයක් පැවැත්වූහ.,සිද්ධිය වාර්තාකරුවෝ අධ්‍යයනයක් පැවැත්වූහ පිළිබඳව ගැඹුරු.
ගෞරවනීය අමුත්තන් සැමදෙනාටම සුහදව කතා කළෝය.,අමුත්තන් ගෞරවනීය කතා කළෝය සුහදව සැමදෙනාටම.
මහජනතාව සිය අවශ්‍යතා වෙනුවෙන් සටන් කළෝය.,මහජනතාව සටන් කළෝය සිය වෙනුවෙන් අවශ්‍යතා.
අදහාගත නොහැකි සිදුවීම් දෛනිකව වාර්තා විය.,අදහාගත නොහැකි සිදුවීම් වාර්තා විය දෛනිකව.
විශාල සංවර්ධන ව්‍යාපෘති කඩිනමින් ඇරඹෙනු ඇත.,විශාල ව්‍යාපෘති සංවර්ධන ඇරඹෙනු ඇත කඩිනමින්.
ගෞරවය සහ අවධානය ඔහුට ලැබෙනු ඇත.,ලැබෙනු ඇත ගෞරවය සහ අවධානය ඔහුට.
ලෝකයේ සාමය වෙනුවෙන් සියලු උත්සාහයන් යොදවයි.,සියලු ලෝකයේ සාමය වෙනුවෙන් උත්සාහයන් යොදවයි.
ජනප්‍රිය ගායකයා අලංකාර ගීතයක් ගැයීය.,අලංකාර ගීතයක් ජනප්‍රිය ගායකයා ගැයීය.
පාලකයෝ නිතරම ජනතාවගේ දේ ඇසූහ.,පාලකයෝ ඇසූහ නිතරම ජනතාවගේ දේ.
අළුතින් පත්වූ විදුහල්පතිතුමා පාසල වෙත ආවේය.,පාසල අළුතින් පත්වූ විදුහල්පතිතුමා වෙත ආවේය.
ප්‍රශ්න පිළිබඳව ගැඹුරු විමර්ශනයක් පැවැත්වූ බව දනිමු.,ප්‍රශ්න පිළිබඳව දනිමු පැවැත්වූ බව විමර්ශනයක් ගැඹුරු.
ඔවුන්ගේ නව ව්‍යාපාරය ඉක්මනින් සාර්ථක විය.,සාර්ථක ඔවුන්ගේ නව ව්‍යාපාරය විය ඉක්මනින්.
සියලු සාමාජිකයින් රැස්වීම වෙත පැමිණියේය.,සියලු සාමාජිකයින් රැස්වීම වෙත පැමිණියේය.
රාජ්‍ය ආයතන වඩාත් ඵලදායී විය යුතුය.,විය යුතුය රාජ්‍ය ආයතන වඩාත් ඵලදායී.
නිදහස් අධ්‍යාපනය වටිනා දීමනාවක් වන්නේය.,නිදහස් අධ්‍යාපනය වන්නේය වටිනා දීමනාවක්.
නවීන තාක්ෂණය වේගයෙන් ලෝකය වෙත පැතිරෙන්නේය.,ලෝකය නවීන තාක්ෂණය පැතිරෙන්නේය වේගයෙන් වෙත.
පුරාණ ගිවිසුම් අද දින අවලංගු විය.,අවලංගු පුරාණ ගිවිසුම් විය අද දින.
කලාකරුවා අපූර්ව චිත්‍රයක් අඳිනු ලැබීය.,අපූර්ව චිත්‍රයක් කලාකරුවා ලැබීය අඳිනු.
දේශීය සංස්කෘතිය ඉහළින් සුරැකීම වැදගත්ය.,වැදගත්ය දේශීය සංස්කෘතිය සුරැකීම ඉහළින්.
භූමිකම්පාව හේතුවෙන් විශාල හානියක් සිදුවිය.,විශාල භූමිකම්පාව හානියක් සිදුවිය හේතුවෙන්.
වෛද්‍යවරයා රෝගියා පරෙස්සමින් පරීක්ෂා කළේය.,රෝගියා වෛද්‍යවරයා පරෙස්සමින් කළේය පරීක්ෂා.
නිලධාරීහු විශේෂ කාර්යයක් සඳහා පත් කරන ලදී.,විශේෂ නිලධාරීහු පත් කරන ලදී කාර්යයක් සඳහා.
රාජ්‍ය සේවය සතුටින් ඉටු කළෝය.,රාජ්‍ය සේවය කළෝය සතුටින් ඉටු.
අද රාත්‍රියේදී ප්‍රබල සුළඟක් හමනු ඇත.,අද රාත්‍රියේදී හමනු ඇත ප්‍රබල සුළඟක්.
කඳුකරයේ නිරතුරුව වර්ෂාව පතිත වන්නේය.,වර්ෂාව කඳුකරයේ පතිත වන්නේය නිරතුරුව.
යහපත් ආකල්ප සමාජයට වැදගත් විය.,සමාජයට යහපත් ආකල්ප විය වැදගත්.
සෑම අතකින්ම විනය ක්‍රියාත්මක විය යුතුය.,ක්‍රියාත්මක විය යුතුය සෑම අතකින්ම විනය.
සභාව නව ව්‍යවස්ථාවක් පිළිගනු ලැබීය.,සභාව ව්‍යවස්ථාවක් නව පිළිගනු ලැබීය.
වෙළඳාම විදේශ වෙළඳපොළ වෙත විහිදෙන්නේය.,වෙළඳාම විදේශ වෙළඳපොළ වෙත විහිදෙන්නේය.
අතීතයේදී රජවරු යුද්ධ නිරතුරුව කළෝය.,යුද්ධ අතීතයේදී රජවරු කළෝය නිරතුරුව.
විද්‍යාත්මක ප්‍රගතිය සහනයක් ලබාදෙන්නේය.,සහනයක් විද්‍යාත්මක ප්‍රගතිය ලබාදෙන්නේය.
ග්‍රාමීය ජනතාව අද දින නගරය බලා ගියෝය.,ග්‍රාමීය ජනතාව ගියෝය නගරය බලා අද දින.
දේශපාලන පක්ෂ සිය අදහස් ප්‍රකාශ කළේය.,දේශපාලන පක්ෂ ප්‍රකාශ කළේය සිය අදහස්.
නව සභාපතිවරයා සිය කාර්යයන් ආරම්භ කළේය.,නව සභාපතිවරයා ආරම්භ කළේය සිය කාර්යයන්.
ඉතිහාසය අනාගතයට පාඩම් උගන්වන්නේය.,අනාගතයට ඉතිහාසය පාඩම් උගන්වන්නේය.
ගුරුවරයා උත්සාහයෙන් සිසුන් වෙත දැනුම ලබා දුන්නේය.,දැනුම ගුරුවරයා උත්සාහයෙන් සිසුන් වෙත ලබා දුන්නේය.
කාර්යාලයේ සියලු වැඩ වඩාත් පහසු විය.,සියලු කාර්යාලයේ වැඩ වඩාත් පහසු විය.
විද්‍යාත්මක පරීක්ෂණ නිවැරදිව පවත්වන ලදී.,නිවැරදිව විද්‍යාත්මක පරීක්ෂණ පවත්වන ලදී.
ඔවුන් විවේක කාලයේදී ධර්ම සාකච්ඡා කළහ.,ධර්ම සාකච්ඡා ඔවුන් විවේක කාලයේදී කළහ.
රාජ්‍යයේ ප්‍රගතිය ජනතාවට සැපතක් විය.,රාජ්‍යයේ ප්‍රගතිය සැපතක් විය ජනතාවට.
සෙනෙහස අපගේ ජීවිතයට සුවයක් ලබාදෙයි.,සෙනෙහස අපගේ ජීවිතයට ලබාදෙයි සුවයක්.
පුවත්පත් මගින් ජනතාවට තොරතුරු ලැබෙන්නේය.,ජනතාවට පුවත්පත් මගින් ලැබෙන්නේය තොරතුරු.
ඔහුගේ නිර්භීතකම සියල්ලන් විසින් ප්‍රශංසා විය.,ඔහුගේ නිර්භීතකම ප්‍රශංසා විය සියල්ලන් විසින්.
අපගේ උත්සාහය සාර්ථකත්වයට හේතු විය.,අපගේ උත්සාහය විය සාර්ථකත්වයට හේතු.
නිර්මාණය අතිශය කලාත්මක විය යුතුය.,නිර්මාණය කලාත්මක විය යුතුය අතිශය.
විදේශ ආයෝජන නිරතුරුව මෙරටට පැමිණියේය.,විදේශ ආයෝජන මෙරටට පැමිණියේය නිරතුරුව.
සමස්ත ජාතියම එක්සත් බව පෙන්වූහ.,සමස්ත ජාතියම පෙන්වූහ එක්සත් බව.
විහාරය වෙත නව පිළිමයක් පත් කෙරින.,විහාරය වෙත පිළිමයක් නව කෙරින පත්.
සෑම වසරකම අලුත් උත්සවයක් පැවැත්වේ.,සෑම වසරකම පැවැත්වේ අලුත් උත්සවයක්.
ඔබ ප්‍රඥාව මනාව පරිශීලනය කළේය.,ප්‍රඥාව ඔබ කළේය මනාව පරිශීලනය.
රහස් තොරතුරු රජයේ නිලධාරීන් දන්නේය.,රජයේ රහස් තොරතුරු දන්නේය නිලධාරීන්.
මෙම ප්‍රදේශය වෙත දුම්රිය පාරක් ඇත.,මෙම ප්‍රදේශය වෙත දුම්රිය පාරක් ඇත.
සියලු පවුල් සන්තෝෂයෙන් ජීවත් වෙති.,සියලු පවුල් ජීවත් වෙති සන්තෝෂයෙන්.
විචිත්‍රවත් වර්ණ පින්තූරය වෙත එකතු විය.,විචිත්‍රවත් වර්ණ එකතු විය පින්තූරය වෙත.
කාර්ය මණ්ඩලය අවම කාලයකින් සූදානම් විය.,කාර්ය මණ්ඩලය සූදානම් විය අවම කාලයකින්.
නව සංශෝධන පාර්ලිමේන්තුවේ දී සාකච්ඡා විය.,නව සංශෝධන සාකච්ඡා විය පාර්ලිමේන්තුවේ දී.
දක්ෂතාවය නිසා ඔහු ඉහළට යනු ඇත.,දක්ෂතාවය යනු ඇත නිසා ඔහු ඉහළට.
අග්‍රාමාත්‍යතුමා ජනතාව වෙත පණිවිඩයක් එවීය.,අග්‍රාමාත්‍යතුමා වෙත ජනතාව පණිවිඩයක් එවීය.
ඔවුන් විවිධ විද්‍යාත්මක තොරතුරු එකතු කළහ.,විවිධ ඔවුන් තොරතුරු එකතු කළහ විද්‍යාත්මක.
ගැටළු පිළිබඳව විශාල සංවාදයක් ඇත.,ගැටළු පිළිබඳව ඇත සංවාදයක් විශාල.
අධ්‍යාපන ක්ෂේත්‍රය වඩාත් ප්‍රබල විය යුතුය.,අධ්‍යාපන ක්ෂේත්‍රය ප්‍රබල විය යුතුය වඩාත්.
මිනිස්සු සත්‍යය වෙනුවෙන් නිරතුරුව සිටියෝය.,සිටියෝය මිනිස්සු සත්‍යය වෙනුවෙන් නිරතුරුව.
දරුවෝ පාසලේ ප්‍රදර්ශනයක් පැවැත්වූහ.,දරුවෝ ප්‍රදර්ශනයක් පාසලේ පැවැත්වූහ.
අපගේ උරුමය අගය කිරීම අවශ්‍ය විය.,අපගේ උරුමය විය අවශ්‍ය අගය කිරීම.
රාජකාරී වගකීම් නියමිත කාලයේදී සම්පූර්ණ විය.,වගකීම් රාජකාරී සම්පූර්ණ විය කාලයේදී නියමිත.
ලෝකයේ ප්‍රශ්න ගැඹුරින් සාකච්ඡා කෙරේ.,ප්‍රශ්න ලෝකයේ කෙරේ ගැඹුරින් සාකච්ඡා.
ව්‍යාපාරික අවස්ථා මෙරට තුළ බිහිවන්නේය.,අවස්ථා ව්‍යාපාරික බිහිවන්නේය මෙරට තුළ.
පරිසරය සුරැකීම සෑමගේම වගකීමක් විය.,සෑමගේම පරිසරය වගකීමක් විය සුරැකීම.
පුරවැසියන් සිය මූලික අයිතිවාසිකම් භුක්ති විඳිති.,පුරවැසියන් භුක්ති විඳිති සිය මූලික අයිතිවාසිකම්.
මහා වැසි නිසා ජල ගැලීම් සිදුවිය.,ජල ගැලීම් මහා වැසි නිසා සිදුවිය.
පැරණි ගිවිසුම් කඩිනමින් අලුත් විය යුතුය.,කඩිනමින් පැරණි ගිවිසුම් විය යුතුය අලුත්.
සියලු දෙනාම එකම අරමුණක් වෙත යොමු විය.,සියලු දෙනාම යොමු විය වෙත එකම අරමුණක්.
යහපත් පාලනයක් නිරතුරුවම අවශ්‍ය විය.,නිරතුරුවම යහපත් පාලනයක් විය අවශ්‍ය.
පාර්ලිමේන්තුවේ නව සංශෝධනයක් පිළිගන්නා ලදී.,නව පාර්ලිමේන්තුවේ ලදී පිළිගන්නා සංශෝධනයක්.
වෛද්‍ය සේවාවන් ග්‍රාමීය ප්‍රදේශ වෙත ළඟා විය.,ග්‍රාමීය ප්‍රදේශ වෙත වෛද්‍ය සේවාවන් ළඟා විය.
සමාජ සාධාරණත්වය සඳහා සටන් කිරීම වැදගත්ය.,සාධාරණත්වය සමාජ වැදගත්ය සඳහා සටන් කිරීම.
නළුවා උසස් රංගනයක් ඉදිරිපත් කළේය.,නළුවා ඉදිරිපත් කළේය උසස් රංගනයක්.
විශාල ප්‍රතිසංස්කරණ දේශය තුළ සිදුවන්නේය.,දේශය තුළ විශාල ප්‍රතිසංස්කරණ සිදුවන්නේය.
ගෞරවය සහ කීර්තිය ඔහුට හිමි විය.,ඔහුට ගෞරවය සහ කීර්තිය හිමි විය.
පුරාණ යුද්ධවල ඉතිහාසය අධ්‍යයනය කළ යුතුය.,ඉතිහාසය පුරාණ යුද්ධවල අධ්‍යයනය කළ යුතුය.
අපගේ උත්සාහය අනිවාර්යයෙන්ම සාර්ථක විය.,අපගේ උත්සාහය විය අනිවාර්යයෙන්ම සාර්ථක.
නව තාක්ෂණික දැනුම සියලු වෙත පැතිරේ.,පැතිරේ නව තාක්ෂණික දැනුම සියලු වෙත.
කලින් කළ වැරදි පිළිබඳව නිරතුරුව සමාව ඇයැද සිටියේය.,ඇයැද කලින් කළ වැරදි පිළිබඳව සිටියේය නිරතුරුව සමාව.
අපගේ විද්‍යාලය අධ්‍යාපන ක්ෂේත්‍රයේ ඉහළට නැඟී සිටියේය.,අපගේ විද්‍යාලය සිටියේය ක්ෂේත්‍රයේ ඉහළට නැඟී අධ්‍යාපන.
ග්‍රාමීය දරුවෝ පාසල වෙත උදෑසන පැමිණීමට යුහුසුළු වෙති.,ග්‍රාමීය දරුවෝ පැමිණීමට යුහුසුළු වෙති පාසල වෙත උදෑසන.
එම ඓතිහාසික සිද්ධිය මුළු දේශයම හඳුනාගෙන ඇත.,මුළු එම ඓතිහාසික සිද්ධිය ඇත දේශයම හඳුනාගෙන.
යහපත් ආණ්ඩුවක් නිතරම ජනතාවගේ දේ සැලකිල්ලට ගනී.,නිතරම යහපත් ආණ්ඩුවක් ගනී සැලකිල්ලට ජනතාවගේ දේ.
පරිසරය සුරැකීම වෙනුවෙන් විශේෂ ව්‍යාපෘති ක්‍රියාත්මක විය.,විශේෂ පරිසරය සුරැකීම වෙනුවෙන් ක්‍රියාත්මක විය ව්‍යාපෘති.
මහාචාර්යවරයා නව පර්යේෂණ නිමිත්තෙන් විද්‍යාගාරයේ සිටියේය.,මහාචාර්යවරයා සිටියේය නව පර්යේෂණ නිමිත්තෙන් විද්‍යාගාරයේ.
වෙළඳ පොළේ භාණ්ඩ මිල නිරතුරුවම ඉහළ යමින් තිබුණි.,භාණ්ඩ වෙළඳ පොළේ නිරතුරුවම තිබුණි යමින් ඉහළ මිල.
ඔවුන් විවිධ දේශපාලන ප්‍රශ්න ගැඹුරින් සාකච්ඡා කළෝය.,ගැඹුරින් ඔවුන් විවිධ දේශපාලන ප්‍රශ්න සාකච්ඡා කළෝය.
ජාතික සංස්කෘතිය අපගේ ආත්මය බවට පත්වී ඇත.,සංස්කෘතිය ජාතික බවට පත්වී ඇත අපගේ ආත්මය.
සූර්යයා උදාවන විට මහා අලෝකයක් පැතිරෙන්නේය.,සූර්යයා පැතිරෙන්නේය මහා අලෝකයක් උදාවන විට.
රාජ්‍ය ආදායම නිරතුරුවම ඉහළ නැංවීමට උත්සාහ කෙරේ.,රාජ්‍ය ආදායම කෙරේ නිරතුරුවම ඉහළ නැංවීමට උත්සාහ.
අපගේ දර්ශනය මුළු ලෝකයාටම යහපතක් විය.,අපගේ දර්ශනය විය මුළු ලෝකයාටම යහපතක්.
නව අධ්‍යාපන ක්‍රමයක් පාසල්වල ආරම්භ කරන ලදී.,නව අධ්‍යාපන ක්‍රමයක් ලදී ආරම්භ කරන පාසල්වල.
විශාල කර්මාන්ත ශාලා ගණනාවක් මෙරට තුළ පිහිටුවන ලදී.,කර්මාන්ත විශාල ගණනාවක් ලදී පිහිටුවන මෙරට තුළ ශාලා.
ලේඛකයා සිය නව ග්‍රන්ථය නිසොල්මනේ මුද්‍රණය කළෝය.,ග්‍රන්ථය ලේඛකයා සිය මුද්‍රණය කළෝය නව නිසොල්මනේ.
ගෞරවය සහ උපහාරය සියල්ලන්ටම ලබාදීම අත්‍යවශ්‍ය වේ.,සියල්ලන්ටම ගෞරවය සහ උපහාරය වේ ලබාදීම අත්‍යවශ්‍ය.
නිලධාරීහු සියලු ලේඛන නිවැරදිව සැකසීම වෙත යොමු විය.,වෙත නිලධාරීහු සියලු ලේඛන යොමු විය නිවැරදිව සැකසීම.
ප්‍රදේශයේ ජනතාව ගංවතුර උවදුරින් විශාල පීඩාවට පත්වූහ.,ප්‍රදේශයේ ජනතාව පත්වූහ උවදුරින් විශාල පීඩාවට ගංවතුර.
සතුරාගේ ක්‍රියාකාරකම් පිළිබඳව තොරතුරු රහසිගතව සෙවූහ.,සතුරාගේ තොරතුරු ක්‍රියාකාරකම් පිළිබඳව සෙවූහ රහසිගතව.
සිසුන් විද්‍යාත්මක තර්කය මනාව උපයෝගී කර ගන්නා ලදී.,තර්කය සිසුන් උපයෝගී කර ගන්නා ලදී විද්‍යාත්මක මනාව.
සෑම දෙයක්ම නියමිත කාලයේදී සම්පූර්ණ කිරීම අවශ්‍ය විය.,සම්පූර්ණ සෑම දෙයක්ම විය අවශ්‍ය නියමිත කාලයේදී කිරීම.
රෝහලේ සේවය සඳහා නව වෛද්‍යවරයෙක් පැමිණියේය.,නව වෛද්‍යවරයෙක් රෝහලේ සේවය සඳහා පැමිණියේය.
ඔහුගේ දේශනය විශාල පිරිසක් විසින් සැලකිල්ලට ගන්නා ලදී.,දේශනය ඔහුගේ ලදී ගන්නා සැලකිල්ලට විශාල පිරිසක් විසින්.
භික්ෂූන් වහන්සේලා වටිනා ධර්ම සාකච්ඡාවක් පැවැත්වූහ.,වහන්සේලා භික්ෂූන් පැවැත්වූහ වටිනා ධර්ම සාකච්ඡාවක්.
සමාජයේ දුප්පත් ජනතාව වෙනුවෙන් විශේෂ වැඩසටහන් ඇත.,දුප්පත් සමාජයේ ජනතාව ඇත වෙනුවෙන් විශේෂ වැඩසටහන්.
වර්තමාන තත්ත්වය පිළිබඳව ගැඹුරු අධ්‍යයනයක් පැවැත්වීම අත්‍යවශ්‍ය වේ.,වර්තමාන තත්ත්වය අත්‍යවශ්‍ය වේ පිළිබඳව ගැඹුරු අධ්‍යයනයක් පැවැත්වීම.
අපගේ උරුමය සුරැකීම සෑමගේම උත්තරීතර වගකීමක් විය.,අපගේ උරුමය විය සුරැකීම සෑමගේම උත්තරීතර වගකීමක්.
විශාල පරිත්‍යාගශීලීන් පන්සලට විශේෂ ආධාරයක් ලබාදුන්හ.,විශාල පරිත්‍යාගශීලීන් ලබාදුන්හ ආධාරයක් පන්සලට විශේෂ.
ඉදිරිපත් කළ යෝජනා සභාව විසින් පිළිගනු ලැබෙනු ඇත.,ලැබෙනු ඇත ඉදිරිපත් කළ යෝජනා සභාව විසින් පිළිගනු.
දේශීය කර්මාන්ත නිරතුරුව සංවර්ධනය කිරීම අවශ්‍ය විය.,අවශ්‍ය දේශීය කර්මාන්ත විය නිරතුරුව සංවර්ධනය කිරීම.
නව ව්‍යාපාරික අවස්ථා දැන් මෙරට තුළ පවතිනේය.,නව ව්‍යාපාරික අවස්ථා පවතිනේය දැන් මෙරට තුළ.
කලින් කළ වීඩියෝ පටය ජනප්‍රිය බවට පත්වූයේය.,කලින් කළ වීඩියෝ පටය පත්වූයේය ජනප්‍රිය බවට.
මිනිසුන් සිය මූලික අයිතිවාසිකම් වෙනුවෙන් දිගින් දිගටම සටන් කළෝය.,මිනිසුන් කළෝය වෙනුවෙන් දිගින් දිගටම සටන් සිය මූලික අයිතිවාසිකම්.
රජයේ නිලධාරීන් රාජකාරි නියමිත කාලය තුළ සම්පූර්ණ කළෝය.,රජයේ නිලධාරීන් සම්පූර්ණ කළෝය රාජකාරි කාලය තුළ නියමිත.
පොත්පත් කියවීම මගින් දැනුම වඩාත් පුළුල් විය.,පොත්පත් වඩාත් දැනුම කියවීම මගින් විය පුළුල්.
දේශපාලන ක්ෂේත්‍රයේ විශාල ප්‍රතිසංස්කරණ සිදුකරනු ලැබෙනු ඇත.,ප්‍රතිසංස්කරණ දේශපාලන ක්ෂේත්‍රයේ සිදුකරනු ලැබෙනු ඇත විශාල.
තරුණ සමූහයක් නව සමාජ වැඩසටහනක් ආරම්භ කළෝය.,තරුණ සමූහයක් ආරම්භ කළෝය නව සමාජ වැඩසටහනක්.
ඔහුගේ කතාව ජනතාවගේ සිත් දිනාගැනීමට හේතු විය.,ජනතාවගේ ඔහුගේ කතාව විය සිත් දිනාගැනීමට හේතු.
සමාජයේ පවතින දුක්ඛිත තත්ත්වය පිළිබඳව විශේෂ අවධානයක් ලබාදෙනු ඇත.,සමාජයේ පවතින ඇත ලබාදෙනු අවධානයක් දුක්ඛිත තත්ත්වය පිළිබඳව විශේෂ.
ගුරුවරයා සියලු සිසුන් වෙත දැනුම සමසේ බෙදා දෙන්නේය.,ගුරුවරයා බෙදා දෙන්නේය දැනුම සිසුන් වෙත සියලු සමසේ.
අපගේ උත්සාහය සාර්ථකත්වය වෙතට නිරතුරුවම යොමු විය.,අපගේ උත්සාහය යොමු විය වෙතට සාර්ථකත්වය නිරතුරුවම.
ඉදිරිපත් කළ යෝජනා අමාත්‍ය මණ්ඩලය විසින් සාකච්ඡා කෙරේ.,ඉදිරිපත් කෙරේ කළ යෝජනා අමාත්‍ය මණ්ඩලය විසින් සාකච්ඡා.
